epoch,p1x,p1y,p1z,p2x,p2y,p2z
325,13.0,15.0,1.0,16.0,14.0,31.0
326,14.0,14.0,1.0,15.0,16.0,31.0
327,14.0,14.0,1.0,16.0,15.0,31.0
328,13.0,15.0,1.0,16.0,14.0,31.0
329,16.0,14.0,1.0,14.0,16.0,31.0
330,14.0,16.0,1.0,16.0,14.0,31.0
331,13.0,14.0,1.0,16.0,15.0,31.0
332,14.0,14.0,1.0,16.0,15.0,31.0
333,14.0,16.0,1.0,15.0,13.0,31.0
334,13.0,14.0,1.0,16.0,15.0,31.0
335,13.0,14.0,1.0,16.0,15.0,31.0
336,13.0,15.0,1.0,16.0,14.0,31.0
337,14.0,14.0,1.0,16.0,15.0,31.0
338,13.0,15.0,1.0,16.0,14.0,31.0
339,13.0,14.0,1.0,16.0,16.0,31.0
340,13.0,14.0,1.0,16.0,15.0,31.0
341,13.0,14.0,1.0,16.0,15.0,31.0
342,14.0,16.0,1.0,16.0,14.0,31.0
343,13.0,14.0,1.0,16.0,16.0,31.0
344,14.0,13.0,1.0,16.0,16.0,31.0
345,14.0,16.0,1.0,16.0,14.0,31.0
346,14.0,16.0,1.0,15.0,13.0,31.0
347,14.0,14.0,1.0,16.0,15.0,31.0
348,14.0,16.0,1.0,16.0,14.0,31.0
349,14.0,16.0,1.0,16.0,14.0,31.0
350,14.0,14.0,1.0,16.0,15.0,31.0
351,13.0,15.0,1.0,17.0,14.0,31.0
352,13.0,14.0,1.0,16.0,15.0,31.0
353,13.0,14.0,1.0,16.0,15.0,31.0
354,13.0,14.0,1.0,16.0,15.0,31.0
355,14.0,16.0,1.0,16.0,14.0,31.0
356,14.0,14.0,1.0,16.0,15.0,31.0
357,14.0,14.0,1.0,16.0,15.0,31.0
358,14.0,14.0,1.0,16.0,15.0,31.0
359,13.0,14.0,1.0,16.0,15.0,31.0
360,13.0,14.0,1.0,16.0,15.0,31.0
361,14.0,16.0,1.0,16.0,14.0,31.0
362,14.0,16.0,1.0,16.0,14.0,31.0
363,14.0,16.0,1.0,16.0,14.0,31.0
364,13.0,13.0,1.0,16.0,17.0,31.0
365,13.0,15.0,1.0,16.0,14.0,31.0
366,14.0,16.0,1.0,15.0,13.0,31.0
367,13.0,14.0,1.0,16.0,15.0,31.0
368,13.0,15.0,1.0,16.0,14.0,31.0
369,13.0,15.0,1.0,16.0,14.0,31.0
370,14.0,16.0,1.0,16.0,14.0,31.0
371,13.0,14.0,1.0,16.0,16.0,31.0
372,13.0,15.0,1.0,16.0,13.0,31.0
373,14.0,14.0,1.0,15.0,16.0,31.0
374,13.0,15.0,1.0,16.0,14.0,31.0
375,14.0,14.0,1.0,16.0,15.0,31.0
376,14.0,14.0,1.0,16.0,15.0,31.0
377,14.0,16.0,1.0,16.0,14.0,31.0
378,13.0,14.0,1.0,16.0,16.0,31.0
379,13.0,14.0,1.0,16.0,16.0,31.0
380,13.0,14.0,1.0,16.0,16.0,31.0
381,13.0,14.0,1.0,16.0,15.0,31.0
382,13.0,14.0,1.0,16.0,16.0,31.0
383,14.0,14.0,1.0,16.0,15.0,31.0
384,13.0,15.0,1.0,16.0,14.0,31.0
385,14.0,16.0,1.0,16.0,14.0,31.0
386,13.0,14.0,1.0,16.0,15.0,31.0
387,14.0,14.0,1.0,16.0,15.0,31.0
388,14.0,14.0,1.0,16.0,15.0,31.0
389,13.0,14.0,1.0,16.0,15.0,31.0
390,16.0,15.0,1.0,13.0,14.0,31.0
391,13.0,14.0,1.0,16.0,16.0,31.0
392,13.0,15.0,1.0,16.0,14.0,31.0
393,13.0,15.0,1.0,16.0,14.0,31.0
394,14.0,14.0,1.0,16.0,15.0,31.0
395,14.0,14.0,1.0,16.0,15.0,31.0
396,13.0,15.0,1.0,16.0,14.0,31.0
397,14.0,16.0,1.0,16.0,14.0,31.0
398,14.0,14.0,1.0,16.0,15.0,31.0
399,13.0,15.0,1.0,16.0,14.0,31.0
400,13.0,14.0,1.0,16.0,15.0,31.0
401,14.0,16.0,1.0,16.0,14.0,31.0
402,13.0,14.0,1.0,16.0,15.0,31.0
403,13.0,15.0,1.0,16.0,14.0,31.0
404,13.0,14.0,1.0,16.0,15.0,31.0
405,14.0,16.0,1.0,15.0,13.0,31.0
406,16.0,15.0,1.0,13.0,14.0,31.0
407,13.0,14.0,1.0,16.0,15.0,31.0
408,13.0,14.0,1.0,16.0,15.0,31.0
409,13.0,16.0,1.0,17.0,14.0,31.0
410,13.0,15.0,1.0,16.0,14.0,31.0
411,13.0,14.0,1.0,16.0,15.0,31.0
412,14.0,14.0,1.0,16.0,15.0,31.0
413,13.0,14.0,1.0,16.0,15.0,31.0
414,13.0,14.0,1.0,16.0,15.0,31.0
415,13.0,14.0,1.0,16.0,15.0,31.0
416,13.0,15.0,1.0,16.0,14.0,31.0
417,13.0,15.0,1.0,16.0,14.0,31.0
